"Part name","Quantity","Width mm","Length mm","Height mm","Mass kg"
"Carrier bottom","1","29.000","29.000","4.950","0.02322"
"Carrier top","1","29.000","29.000","5.450","0.02556"
"Fasteners","1","0","0","0","0.00000"
"Flat head M3x30","4","5.586","5.593","30.000","0.00175"
"M2 Washer (125)","6","5.000","0.300","5.000","0.00004"
"M2.5x25","3","4.973","5.000","27.055","0.00120"
"M5 Washer (125)","1","10.000","1.000","10.000","0.00044"
"Planet Gear (8 teeth)","3","9.599","9.599","12.000","0.00342"
"random nema17","1","42.000","42.000","60.000","0.54740"
"Ring Gear (32 teeth)","1","42.000","42.000","28.000","0.21017"
"Screws","1","0","0","0","0.00000"
"Sun Gear (16 teeth)","1","18.000","18.000","12.000","0.01566"
"Washers (s)","1","0","0","0","0.00000"
